company_name;founded;industry;location;about;stage;amount;Table
Tripshelf;0;Internet;Kalkaji;Tripshelf is an online market place for holiday packages.;Seed;176000;2018
Tolet for Students;0;Hospitality;Jodhpur;Reserve your Room, Hostel or Paying Guest, while relocating for higher education.;Seed;55000;2018
Dainik Jagran;0;Media and Entertainment;Kanpur;Dainik Jagran is a media and communications group.;Seed;440000;2018
FoodBuddy;0;Food Delivery;Belgaum;FoodBuddy is a online food delivery portal, providing boundary breaking delivery.;Seed;660000;2018
Log 9 Materials;0;Nanotechnology;Uttar Pradesh;Log 9 Materials is a nano-materials manufacturing and RnD startup;Seed;330000;2018
Gugu;0;Battery;Coimbatore;Gugu designs & Sells all Electric Connected Two-wheeler's with Network of Open & Free Fast charging Stations across India.;Seed;232500;2018
UClean;0;Clean Energy;India;UClean is a tech enabled laundry service provider.;Seed;440000;2018
Rooter;0;Sports;India;Rooter is a mobile-based platform;Seed;495000;2018
BlueJack;0;Autonomous Vehicles;Delhi;Delhi-based online used vehicles marketplace.;Seed;704000;2018
Avishkaar Box;0;Children;Delhi;Avishkaar Box is just not another box full of material rather it is a well researched, thought through solution;Seed;550000;2018
CoinGeto;0;Cryptocurrency;Delhi;CoinGeto is one of India’s most advanced digital assets exchange.;Seed;1320000;2018
Lendbox;0;Crowdfunding;Delhi;Lendbox is India's leading peer-to-peer lending online lending platform.;Seed;660000;2018
Carmesi;0;Health Care;Gurgaon;Carmesi is a brand of high-end menstrual-hygiene products in India.;Seed;374000;2018
Boodmo;0;Automotive;Gurgaon;boodmo.com - large online marketplace for auto parts in India.;Seed;770000;2018
PlanetSpark;0;E-Learning;Gurgaon;PlanetSpark is an after-school Maths and English learning program for pre teen kids between Grades 2nd to 7th.;Seed;176000;2018
PetSutra;0;Veterinary;Gurgaon;Gurugram-based Online petcare platform.;Seed;104500;2018
Kuants;0;Financial Services;Gurgaon;Algorithmic trading platform.;Seed;55000;2018
VTION;0;Analytics;Gurgaon;VTION is a media technology innovation firm aiming to solve key problems in the media based ecosystem.;Seed;211200;2018
Doubtnut;0;E-Learning;Gurgaon;Gurgaon based E-learning platform.;Seed;385000;2018
hoi foods;0;Food and Beverage;Gurgaon;India's first hotel dedicated food brand which promises great in room dining experience in budget hotels;Seed;396000;2018
INDwealth;0;Financial Services;Gurgaon;INDwealth is an Artificial Intelligence (AI) powered wealth management company;Seed;24200000;2018
Parkwheels;0;Industrial;Haryana;Parkwheels aims at solving the big, bad & unsexy parking problems of India.;Seed;132000;2018
Sleepy Owl Coffee;0;Food and Beverage;New Delhi;Makers of a signature coffee that's exceptional in taste. It's super easy to brew, requires no equipment & ships to your door.;Seed;385000;2018
Chariot Tech;0;Internet of Things;New Delhi;Chariot Tech is an Internet of Things (IoT) startup based in New Delhi.;Seed;220000;2018
Kriger Campus;0;Education;New Delhi;A Education Start Up.;Seed;330000;2018
Notesgen;0;EdTech;New Delhi;A Global Peer-to-Peer and Peer-to-Group Learning Platform that helps students supplement their academic & competitive exam prep.;Seed;137500;2018
Be U Salons;0;Apps;New Delhi;Be U is India's first subscription based Salon Chain.;Seed;330000;2018
Printline Media(ThePrint);0;Digital Media;New Delhi;A digital news platform.;Seed;383900;2018
Picture TIme;0;Digital Entertainment;New Delhi;Operator of low-cost mobile cinema theatres in rural areas.;Seed;2750000;2018
Hospals;0;Medical;New Delhi;Hospals is a medical tourism company.;Seed;1395000;2018
TECHBOOZE;0;Education;New Delhi;"Techbooze[1] ""AN OPEN FORUM"" is an educational enterprise, headquartered in India working across the country.";Seed;93000;2018
GuruQ;0;Reading Apps;New Delhi;A one of its kind digital integrated platform connecting tutors and students.;Seed;275000;2018
Med365 Healthcare;0;Health Diagnostics;Jaipur;Wellness, Specialised Testing, Healthcare at Home;Seed;550000;2018
MedCords;0;Wellness;Pune;Medcords is India’s first holistic healthcare ecosystem on a cloud platform that makes health management easier;Seed;290400;2018
WHR;0;Health Care;Pune;WHR is to make affordable healthcare a reality for all. Our vision is to make healthcare services easier, better and more accessible.;Seed;133124;2018
True Elements;0;Dietary Supplements;Pune;True elements offers a range of high-quality snacks and supplements that are inspired by natural foods consumed by our ancestors.;Seed;550000;2018
Earth Food;0;Food and Beverage;Pune;Earth Food is a healthy Food Start Up.;Seed;704000;2018
Bon(Bonfleet Solutions);0;Financial Services;Pune;Bon, a Pune-based FinTech firm was created to bring financial services to the gig-economy workforce.;Seed;858000;2018
Enakshi;0;Fashion;Ahmedabad;Enakshi is an online apparel brand for women.;Seed;88000;2018
Antariksh Waste Ventures Pvt ltd;0;Internet of Things;Chennai;Waste Management for Smart Cities;Seed;5500;2018
Chai Kings;0;Food and Beverage;Chennai;Chai Kings is a tea retail chain;Seed;220000;2018
Aldopay;0;Mobile Payments;Chennai;Mobile Wallet Focusing on hassle free checkout via Finger Print & OTP.;Seed;186000;2018
Happy Cow Dairy;0;Agriculture;Mumbai;A startup which aggregates milk from dairy farmers in rural Maharashtra.;Seed;440000;2018
OTO Capital;0;Automotive;Mumbai;OTO Capital is a platform that allows you to own a car faster than ever.;Seed;550000;2018
Guiddoo World;0;Audio;Mumbai;We build In-Destination Experiences!;Seed;744000;2018
RupeeCircle;0;Financial Services;Mumbai;RupeeCircle is a new age finance company.;Seed;440000;2018
EGK Foods;0;Food and Beverage;Mumbai;A food processing enterprise registered with StartUp India .;Seed;220000;2018
Hey Deedee;0;Delivery Service;Mumbai;Hey Deedee is a Mumbai-based company that provides solutions to parcel delivery problems.;Seed;363000;2018
Doxper;0;Health Care;Mumbai;Doxper is Health tech startup which has created a digital pen and coded paper system for doctors to record patient information;Seed;792000;2018
MCaffeine;0;Consumer Goods;Mumbai;MCaffeine is India's First Caffeine Infuse Personal Care Brand. It's an extension to the hyperactive lifestyle and individualistic identity.;Seed;352000;2018
Wellthy Therapeutics Pvt Ltd;0;Health Care;Mumbai;Wellthy is a digital therapeutics company focused on improving patient health through the intersection of technology, and clinical outcomes.;Seed;1485000;2018
Charcoal Eats;0;Food Processing;Mumbai;Charcoal Eats aims to bring Dominos style standardisation.;Seed;550000;2018
Square Off;0;Internet of Things;Mumbai;Delivering Imagination;Seed;1023000;2018
CashRich;0;Apps;Mumbai;A Mumbai-based fin-tech startup;Seed;930000;2018
Haazri;0;Food and Beverage;Mumbai;Haazri is a tea and snack quick service restaurant startup;Seed;137500;2018
Droni Tech;0;Information Technology;Mumbai;Droni Tech manufacture UAVs and develop software to service a range of industry requirements.;Seed;385000;2018
